category,Praia Brava,Ilha do Pontal,overall_total,overall_percent
expanded_polystyrene,1395,37,1432,49.024306744265665
plastic,899,160,1059,36.25470729202328
fragments,133,12,145,4.964053406367682
processed_wood,69,11,80,2.738788086271825
unidentified,39,16,55,1.8829168093118795
rubber,37,4,41,1.4036288942143103
fabric,37,1,38,1.3009243409791167
personal_care,24,0,24,0.8216364258815474
glass,15,0,15,0.5135227661759671
rings_caps,12,1,13,0.4450530640191715
aluminium,10,2,12,0.4108182129407737
aerosol,7,0,7,0.23964395754878468
